int_down,pay_freq,year,payment,amount,total_payment,balance,loan_paid_to_date,,
35_25,year,2020,principal,5051.59,25550.51,369948.41,0.01,,
35_25,year,2021,principal,5336.53,25550.51,364611.88,0.03,,
35_25,year,2022,principal,5637.56,25550.51,358974.32,0.04,,
35_25,year,2023,principal,5955.56,25550.51,353018.76,0.06,,
35_25,year,2024,principal,6291.50,25550.51,346727.26,0.08,,
35_25,year,2025,principal,6646.39,25550.51,340080.87,0.09,,
35_25,year,2026,principal,7021.30,25550.51,333059.57,0.11,,
35_25,year,2027,principal,7417.36,25550.51,325642.22,0.13,,
35_25,year,2028,principal,7835.75,25550.51,317806.47,0.15,,
35_25,year,2029,principal,8277.75,25550.51,309528.72,0.17,,
35_25,year,2030,principal,8744.68,25550.51,300784.04,0.20,,
35_25,year,2031,principal,9237.95,25550.51,291546.09,0.22,,
35_25,year,2032,principal,9759.04,25550.51,281787.04,0.25,,
35_25,year,2033,principal,10309.53,25550.51,271477.52,0.28,,
35_25,year,2034,principal,10891.07,25550.51,260586.45,0.31,,
35_25,year,2035,principal,11505.41,25550.51,249081.04,0.34,,
35_25,year,2036,principal,12154.40,25550.51,236926.63,0.37,,
35_25,year,2037,principal,12840.01,25550.51,224086.63,0.40,,
35_25,year,2038,principal,13564.29,25550.51,210522.34,0.44,,
35_25,year,2039,principal,14329.42,25550.51,196192.92,0.48,,
35_25,year,2040,principal,15137.71,25550.51,181055.21,0.52,,
35_25,year,2041,principal,15991.60,25550.51,165063.62,0.56,,
35_25,year,2042,principal,16893.65,25550.51,148169.97,0.60,,
35_25,year,2043,principal,17846.58,25550.51,130323.39,0.65,,
35_25,year,2044,principal,18853.27,25550.51,111470.12,0.70,,
35_25,year,2045,principal,19916.74,25550.51,91553.37,0.76,,
35_25,year,2046,principal,21040.20,25550.51,70513.17,0.81,,
35_25,year,2047,principal,22227.04,25550.51,48286.13,0.87,,
35_25,year,2048,principal,23480.82,25550.51,24805.32,0.93,,
