int_down,pay_freq,year,principal,interest,other,total_payment,balance,loan_paid_to_date,,
55_25,year,2020.00,5051.59,20498.92,0.00,25550.51,369948.41,0.01,,
55_25,year,2021.00,5336.53,20213.97,0.00,25550.51,364611.88,0.03,,
55_25,year,2022.00,5637.56,19912.95,0.00,25550.51,358974.32,0.04,,
55_25,year,2023.00,5955.56,19594.95,0.00,25550.51,353018.76,0.06,,
55_25,year,2024.00,6291.50,19259.01,0.00,25550.51,346727.26,0.08,,
55_25,year,2025.00,6646.39,18904.11,0.00,25550.51,340080.87,0.09,,
55_25,year,2026.00,7021.30,18529.21,0.00,25550.51,333059.57,0.11,,
55_25,year,2027.00,7417.36,18133.15,0.00,25550.51,325642.22,0.13,,
55_25,year,2028.00,7835.75,17714.75,0.00,25550.51,317806.47,0.15,,
55_25,year,2029.00,8277.75,17272.75,0.00,25550.51,309528.72,0.17,,
55_25,year,2030.00,8744.68,16805.82,0.00,25550.51,300784.04,0.20,,
55_25,year,2031.00,9237.95,16312.56,0.00,25550.51,291546.09,0.22,,
55_25,year,2032.00,9759.04,15791.46,0.00,25550.51,281787.04,0.25,,
55_25,year,2033.00,10309.53,15240.98,0.00,25550.51,271477.52,0.28,,
55_25,year,2034.00,10891.07,14659.44,0.00,25550.51,260586.45,0.31,,
55_25,year,2035.00,11505.41,14045.10,0.00,25550.51,249081.04,0.34,,
55_25,year,2036.00,12154.40,13396.10,0.00,25550.51,236926.63,0.37,,
55_25,year,2037.00,12840.01,12710.50,0.00,25550.51,224086.63,0.40,,
55_25,year,2038.00,13564.29,11986.22,0.00,25550.51,210522.34,0.44,,
55_25,year,2039.00,14329.42,11221.09,0.00,25550.51,196192.92,0.48,,
55_25,year,2040.00,15137.71,10412.79,0.00,25550.51,181055.21,0.52,,
55_25,year,2041.00,15991.60,9558.91,0.00,25550.51,165063.62,0.56,,
55_25,year,2042.00,16893.65,8656.86,0.00,25550.51,148169.97,0.60,,
55_25,year,2043.00,17846.58,7703.92,0.00,25550.51,130323.39,0.65,,
55_25,year,2044.00,18853.27,6697.24,0.00,25550.51,111470.12,0.70,,
55_25,year,2045.00,19916.74,5633.76,0.00,25550.51,91553.37,0.76,,
55_25,year,2046.00,21040.20,4510.30,0.00,25550.51,70513.17,0.81,,
55_25,year,2047.00,22227.04,3323.47,0.00,25550.51,48286.13,0.87,,
55_25,year,2048.00,23480.82,2069.69,0.00,25550.51,24805.32,0.93,,
55_25,year,2049.00,24805.32,745.19,0.00,25550.51,0.00,1.00,,
55_25,biweekly,2020.00,7531.11,21213.21,0.00,28744.32,367468.89,0.02,,
55_25,biweekly,2021.00,7669.80,20009.91,0.00,27679.71,359799.08,0.04,,
55_25,biweekly,2022.00,8102.99,19576.73,0.00,27679.71,351696.10,0.06,,
55_25,biweekly,2023.00,8560.64,19119.07,0.00,27679.71,343135.46,0.09,,
55_25,biweekly,2024.00,9044.14,18635.58,0.00,27679.71,334091.32,0.11,,
55_25,biweekly,2025.00,9554.94,18124.77,0.00,27679.71,324536.37,0.13,,
