int_down,pay_freq,year,payment,amount,total_payment,balance,loan_paid_to_date,,
25,yearly,2020,principal,5051.59,25550.51,369948.41,0.0135,,
25,yearly,2021,principal,5336.53,25550.51,364611.88,0.0277,,
25,yearly,2022,principal,5637.56,25550.51,358974.32,0.0427,,
25,yearly,2023,principal,5955.56,25550.51,353018.76,0.0586,,
25,yearly,2024,principal,6291.5,25550.51,346727.26,0.0754,,
25,yearly,2025,principal,6646.39,25550.51,340080.87,0.0931,,
25,yearly,2026,principal,7021.3,25550.51,333059.57,0.1118,,
25,yearly,2027,principal,7417.36,25550.51,325642.22,0.1316,,
25,yearly,2028,principal,7835.75,25550.51,317806.47,0.1525,,
25,yearly,2029,principal,8277.75,25550.51,309528.72,0.1746,,
25,yearly,2030,principal,8744.68,25550.51,300784.04,0.1979,,
25,yearly,2031,principal,9237.95,25550.51,291546.09,0.2225,,
25,yearly,2032,principal,9759.04,25550.51,281787.04,0.2486,,
25,yearly,2033,principal,10309.53,25550.51,271477.52,0.2761,,
25,yearly,2034,principal,10891.07,25550.51,260586.45,0.3051,,
25,yearly,2035,principal,11505.41,25550.51,249081.04,0.3358,,
25,yearly,2036,principal,12154.4,25550.51,236926.63,0.3682,,
25,yearly,2037,principal,12840.01,25550.51,224086.63,0.4024,,
25,yearly,2038,principal,13564.29,25550.51,210522.34,0.4386,,
25,yearly,2039,principal,14329.42,25550.51,196192.92,0.4768,,
25,yearly,2040,principal,15137.71,25550.51,181055.21,0.5172,,
25,yearly,2041,principal,15991.6,25550.51,165063.62,0.5598,,
25,yearly,2042,principal,16893.65,25550.51,148169.97,0.6049,,
25,yearly,2043,principal,17846.58,25550.51,130323.39,0.6525,,
25,yearly,2044,principal,18853.27,25550.51,111470.12,0.7027,,
25,yearly,2045,principal,19916.74,25550.51,91553.37,0.7559,,
25,yearly,2046,principal,21040.2,25550.51,70513.17,0.812,,
25,yearly,2047,principal,22227.04,25550.51,48286.13,0.8712,,
25,yearly,2048,principal,23480.82,25550.51,24805.32,0.9339,,
25,yearly,2049,principal,24805.32,25550.51,0,1,,
25,yearly,2020,interest,20498.92,25550.51,369948.41,0.0135,,
25,yearly,2021,interest,20213.97,25550.51,364611.88,0.0277,,
25,yearly,2022,interest,19912.95,25550.51,358974.32,0.0427,,
25,yearly,2023,interest,19594.95,25550.51,353018.76,0.0586,,
25,yearly,2024,interest,19259.01,25550.51,346727.26,0.0754,,
25,yearly,2025,interest,18904.11,25550.51,340080.87,0.0931,,
25,yearly,2026,interest,18529.21,25550.51,333059.57,0.1118,,
25,yearly,2027,interest,18133.15,25550.51,325642.22,0.1316,,
25,yearly,2028,interest,17714.75,25550.51,317806.47,0.1525,,
25,yearly,2029,interest,17272.75,25550.51,309528.72,0.1746,,
25,yearly,2030,interest,16805.82,25550.51,300784.04,0.1979,,
25,yearly,2031,interest,16312.56,25550.51,291546.09,0.2225,,
25,yearly,2032,interest,15791.46,25550.51,281787.04,0.2486,,
25,yearly,2033,interest,15240.98,25550.51,271477.52,0.2761,,
25,yearly,2034,interest,14659.44,25550.51,260586.45,0.3051,,
25,yearly,2035,interest,14045.1,25550.51,249081.04,0.3358,,
25,yearly,2036,interest,13396.1,25550.51,236926.63,0.3682,,
25,yearly,2037,interest,12710.5,25550.51,224086.63,0.4024,,
25,yearly,2038,interest,11986.22,25550.51,210522.34,0.4386,,
25,yearly,2039,interest,11221.09,25550.51,196192.92,0.4768,,
25,yearly,2040,interest,10412.79,25550.51,181055.21,0.5172,,
25,yearly,2041,interest,9558.91,25550.51,165063.62,0.5598,,
25,yearly,2042,interest,8656.86,25550.51,148169.97,0.6049,,
25,yearly,2043,interest,7703.92,25550.51,130323.39,0.6525,,
25,yearly,2044,interest,6697.24,25550.51,111470.12,0.7027,,
25,yearly,2045,interest,5633.76,25550.51,91553.37,0.7559,,
25,yearly,2046,interest,4510.3,25550.51,70513.17,0.812,,
25,yearly,2047,interest,3323.47,25550.51,48286.13,0.8712,,
25,yearly,2048,interest,2069.69,25550.51,24805.32,0.9339,,
25,yearly,2049,interest,745.19,25550.51,0,1,,
25,biweekly,2020,principal,7531.11,28744.32,367468.89,0.0201,,
25,biweekly,2021,principal,7669.8,27679.71,359799.08,0.0405,,
25,biweekly,2022,principal,8102.99,27679.71,351696.1,0.0621,,
25,biweekly,2023,principal,8560.64,27679.71,343135.46,0.085,,
25,biweekly,2024,principal,9044.14,27679.71,334091.32,0.1091,,
25,biweekly,2025,principal,9554.94,27679.71,324536.37,0.1346,,
25,biweekly,2026,principal,10094.6,27679.71,314441.78,0.1615,,
25,biweekly,2027,principal,10664.73,27679.71,303777.04,0.1899,,
25,biweekly,2028,principal,11267.07,27679.71,292509.97,0.22,,
25,biweekly,2029,principal,11903.43,27679.71,280606.54,0.2517,,
25,biweekly,2030,principal,12575.72,27679.71,268030.82,0.2853,,
25,biweekly,2031,principal,13811.71,28744.32,254219.11,0.3221,,
25,biweekly,2032,principal,14066.07,27679.71,240153.04,0.3596,,
25,biweekly,2033,principal,14860.51,27679.71,225292.54,0.3992,,
25,biweekly,2034,principal,15699.82,27679.71,209592.72,0.4411,,
25,biweekly,2035,principal,16586.53,27679.71,193006.19,0.4853,,
25,biweekly,2036,principal,17523.32,27679.71,175482.87,0.532,,
25,biweekly,2037,principal,18513.03,27679.71,156969.84,0.5814,,
25,biweekly,2038,principal,19558.63,27679.71,137411.21,0.6336,,
25,biweekly,2039,principal,20663.29,27679.71,116747.92,0.6887,,
25,biweekly,2040,principal,21830.33,27679.71,94917.59,0.7469,,
25,biweekly,2041,principal,23063.29,27679.71,71854.29,0.8084,,
25,biweekly,2042,principal,25330.04,28744.32,46524.25,0.8759,,
25,biweekly,2043,principal,25796.51,27679.71,20727.74,0.9447,,
25,biweekly,2044,principal,20727.74,21189.16,0,1,,
25,biweekly,2020,interest,21213.21,28744.32,367468.89,0.0201,,
25,biweekly,2021,interest,20009.91,27679.71,359799.08,0.0405,,
25,biweekly,2022,interest,19576.73,27679.71,351696.1,0.0621,,
25,biweekly,2023,interest,19119.07,27679.71,343135.46,0.085,,
25,biweekly,2024,interest,18635.58,27679.71,334091.32,0.1091,,
25,biweekly,2025,interest,18124.77,27679.71,324536.37,0.1346,,
25,biweekly,2026,interest,17585.11,27679.71,314441.78,0.1615,,
25,biweekly,2027,interest,17014.98,27679.71,303777.04,0.1899,,
25,biweekly,2028,interest,16412.64,27679.71,292509.97,0.22,,
25,biweekly,2029,interest,15776.29,27679.71,280606.54,0.2517,,
25,biweekly,2030,interest,15103.99,27679.71,268030.82,0.2853,,
25,biweekly,2031,interest,14932.61,28744.32,254219.11,0.3221,,
25,biweekly,2032,interest,13613.65,27679.71,240153.04,0.3596,,
25,biweekly,2033,interest,12819.21,27679.71,225292.54,0.3992,,
25,biweekly,2034,interest,11979.9,27679.71,209592.72,0.4411,,
25,biweekly,2035,interest,11093.18,27679.71,193006.19,0.4853,,
25,biweekly,2036,interest,10156.39,27679.71,175482.87,0.532,,
