int_down,pay_freq,year,payment,amount,total_payment,balance,loan_paid_to_date,,
25.00,monthly,2020.00,principal,5051.59,25550.51,369948.41,0.01,,
25.00,monthly,2021.00,principal,5336.53,25550.51,364611.88,0.03,,
25.00,monthly,2022.00,principal,5637.56,25550.51,358974.32,0.04,,
25.00,monthly,2023.00,principal,5955.56,25550.51,353018.76,0.06,,
25.00,monthly,2024.00,principal,6291.50,25550.51,346727.26,0.08,,
25.00,monthly,2025.00,principal,6646.39,25550.51,340080.87,0.09,,
25.00,monthly,2026.00,principal,7021.30,25550.51,333059.57,0.11,,
25.00,monthly,2027.00,principal,7417.36,25550.51,325642.22,0.13,,
25.00,monthly,2028.00,principal,7835.75,25550.51,317806.47,0.15,,
25.00,monthly,2029.00,principal,8277.75,25550.51,309528.72,0.17,,
25.00,monthly,2030.00,principal,8744.68,25550.51,300784.04,0.20,,
25.00,monthly,2031.00,principal,9237.95,25550.51,291546.09,0.22,,
25.00,monthly,2032.00,principal,9759.04,25550.51,281787.04,0.25,,
25.00,monthly,2033.00,principal,10309.53,25550.51,271477.52,0.28,,
25.00,monthly,2034.00,principal,10891.07,25550.51,260586.45,0.31,,
25.00,monthly,2035.00,principal,11505.41,25550.51,249081.04,0.34,,
25.00,monthly,2036.00,principal,12154.40,25550.51,236926.63,0.37,,
25.00,monthly,2037.00,principal,12840.01,25550.51,224086.63,0.40,,
25.00,monthly,2038.00,principal,13564.29,25550.51,210522.34,0.44,,
25.00,monthly,2039.00,principal,14329.42,25550.51,196192.92,0.48,,
25.00,monthly,2040.00,principal,15137.71,25550.51,181055.21,0.52,,
25.00,monthly,2041.00,principal,15991.60,25550.51,165063.62,0.56,,
25.00,monthly,2042.00,principal,16893.65,25550.51,148169.97,0.60,,
25.00,monthly,2043.00,principal,17846.58,25550.51,130323.39,0.65,,
25.00,monthly,2044.00,principal,18853.27,25550.51,111470.12,0.70,,
25.00,monthly,2045.00,principal,19916.74,25550.51,91553.37,0.76,,
25.00,monthly,2046.00,principal,21040.20,25550.51,70513.17,0.81,,
25.00,monthly,2047.00,principal,22227.04,25550.51,48286.13,0.87,,
25.00,monthly,2048.00,principal,23480.82,25550.51,24805.32,0.93,,
25.00,monthly,2049.00,principal,24805.32,25550.51,0.00,1.00,,
25.00,monthly,2020.00,interest,20498.92,25550.51,369948.41,0.01,,
25.00,monthly,2021.00,interest,20213.97,25550.51,364611.88,0.03,,
